text	id	sentiment	annotator	annotation_id	created_at	updated_at	lead_time
Agak agak sambung lagi ke pkp ni ?	66669	Positive	29	1728	2022-01-23T13:46:41.945221Z	2022-01-23T13:46:44.621894Z	512.875
@nikamily @Urra901109 Ko pancitkan keter dia. Apsal ko xtegur? Senior mana tagcall da lol. Ke pukik?	66575	Negative	29	1634	2022-01-23T13:39:16.489787Z	2022-01-23T13:39:25.992976Z	74.267
Pande tetak indah ku maca tak duak menyuweet bepantun dalam comment. Tak duak sikda ws kah? Mun sikda ws pake ws aku lok. Kedong ku sik make	66555	Negative	29	1613	2022-01-23T13:35:09.304777Z	2022-01-23T13:35:12.444797Z	845.374
@malu2funky sik tak obrak abrik kedamaiane @EnjoyTheFilm	66356	Neutral	17	1379	2022-01-22T13:40:02.195143Z	2022-01-22T13:40:11.943637Z	3214.338
NEW VD 2021 ABANG KULI BATU BATA JOIN FULL VD, 50K 18 GRUB: KOLEKSI RIAN GVID LOKAL VIP PRANK STR8 PUNYAHOBBY DAD&amp;BEAR ASIAN VIP BEEFCAKE HUNTER VIDEO VIP DAN PREMIUM LAINNYA ORDER KLIK https://t.co/HstFd0wiYs CEK KATALOG @masterlokal https://t.co/pnxYfUKG8T	66330	Neutral	17	1353	2022-01-22T13:38:19.379198Z	2022-01-22T13:38:23.975470Z	3106.359
Mantabb (@ Nasi Lemak Ujong Pasir in Malacca, Melaka) https://t.co/pxkzMrwGXp https://t.co/wWpZrqXDwr	66293	Positive	17	1316	2022-01-22T13:35:53.507326Z	2022-01-22T13:35:57.146068Z	2959.553
@Sataanize biasa nic di subang	80184	Neutral	17	1432	2022-01-23T09:05:31.021378Z	2022-01-23T09:05:31.021395Z	6.983
KJRI Jeddah Ungkap Alasan Arab Saudi Belum Umumkan Keputusan Soal Haji https://t.co/OOzj8BBFAd Dana Haji Aman #StopHoaxDanaHaji	80183	Positive	17	1433	2022-01-23T09:05:40.173874Z	2022-01-23T09:05:40.173888Z	4.851
Petrol 100 Diesel 90 Food Oil 200 LPG 900 Amugu Dumugu Amal Dumal #ModiVsYogi https://t.co/jHaB5pvO9a	80182	Neutral	17	1434	2022-01-23T09:06:07.783274Z	2022-01-23T09:06:07.783286Z	6.019
Ya Allah seriouslah sampai mcm ni. johor are u ok? My pray always with you. Semoga kita semua dijauhi drpd Covid https://t.co/L8d9XB1BqX	80181	Neutral	17	1435	2022-01-23T09:06:14.298243Z	2022-01-23T09:06:14.298257Z	4.791
@Izzzzzzz___ Patutlah jodoh lambat. Ah lantak lah.	80180	Negative	17	1436	2022-01-23T09:06:18.293201Z	2022-01-23T09:06:18.293214Z	2.675
bukan cultural appropriation. dah Tuhan kasi aku konek negro	80179	Negative	17	1437	2022-01-23T09:06:23.651346Z	2022-01-23T09:06:23.651359Z	4.112
@msianinsight Punya byk isu korang boleh gado isu Logo? Yg sorang bersemangat kemain...mcm abis isu dah logo gak y https://t.co/ils7NdIQpj	80178	Positive	17	1438	2022-01-23T09:06:47.768294Z	2022-01-23T09:06:47.768305Z	14.222
Suruh tangkap gambaq bagi dia tengok dulu tu tak boleh blah laaa adeiiii	80177	Negative	17	1439	2022-01-23T09:06:54.440709Z	2022-01-23T09:06:54.440720Z	5.391
Just posted a photo @ Bandar Tanah Merah, Kelantan https://t.co/ex1wVT89al	80176	Neutral	17	1440	2022-01-23T09:06:59.954271Z	2022-01-23T09:06:59.954283Z	4.196
@STRAWB3RRYMOO nanti kalau dh boleh rentas negeri, support sektor pelancongan negara sendiri. this statement, kalau nk feel the real one, pergi lah Penang Museum War. the vibe is just so different especislly the bilik2 beret	80175	Positive	17	1441	2022-01-23T09:07:34.102323Z	2022-01-23T09:07:34.102335Z	11.373
Nikmat tidurrrrrrr sampai 9.30 ni. Semalam berjaga sgt	80174	Positive	17	1442	2022-01-23T09:07:39.407342Z	2022-01-23T09:07:39.407355Z	4.081
Career aku sgt sesuai dgn aku ahahahhahahahahah bak kata mimi aku suka bercakap	80141	Positive	17	1443	2022-01-23T10:33:38.003404Z	2022-01-23T10:33:38.003417Z	14.58
@sutramaya Dahlah interface hauk. Content limited. MANA CRUELLA AKU???? bengang je	80140	Negative	17	1444	2022-01-23T10:33:52.482272Z	2022-01-23T10:33:52.482283Z	10.074
Nak tune guitar,bukak apps speedtest kepala otak dia lah	80138	Neutral	17	1445	2022-01-23T10:34:26.182780Z	2022-01-23T10:34:26.182795Z	9.413
Susah jugak eh, nak minta org volunteer tapi satgi tetiba suruh orang balik kolej pula	80137	Negative	17	1446	2022-01-23T10:34:38.055196Z	2022-01-23T10:34:38.055211Z	10.543
@H4T14K4LN4L42 @FerdinandHaean3 Itulah	80135	Neutral	17	1447	2022-01-23T10:34:57.923831Z	2022-01-23T10:34:57.923844Z	10.128
Alhamdulillah rezeki Ya Allah. Amin https://t.co/XAzzX31MoE	80132	Positive	17	1448	2022-01-23T10:35:22.702915Z	2022-01-23T10:35:22.702929Z	3.831
Rehat tidak bangun2 is better i think.	79589	Negative	17	1449	2022-01-23T10:49:26.482658Z	2022-01-23T10:49:26.482670Z	32.399
hahahahahahahah Tersembur aku!	76565	Positive	28	1507	2022-01-23T13:00:10.449139Z	2022-01-23T13:00:10.449147Z	1.709
Macam ini lah lumrah hidup nak survive kena kerja. Fuhh weekend berapa hari je siak cutinya.	75071	Negative	28	1502	2022-01-23T12:49:23.941011Z	2022-01-23T12:49:23.941027Z	3.11
Penat la kepala otak ni	75070	Negative	28	1503	2022-01-23T12:49:27.043285Z	2022-01-23T12:49:27.043297Z	1.218
@nazif3767 Fak tiru	74995	Negative	28	1508	2022-01-23T13:02:05.425770Z	2022-01-23T13:02:05.425789Z	14.387
sangat setuju dengan komen2 tu...	66727	Positive	29	1786	2022-01-23T13:49:47.496250Z	2022-01-23T13:49:47.496262Z	1.662
finally potong jugak gelangnya https://t.co/C9okV5FA63	66726	Positive	29	1785	2022-01-23T13:49:45.445461Z	2022-01-23T13:49:45.445474Z	2.989
@DhyIbrahim SIAPA!!	66725	Negative	29	1784	2022-01-23T13:49:42.084650Z	2022-01-23T13:49:42.084662Z	2.122
"Mempersembahkan, ""Kerajaan DAP Penang"" https://t.co/Gb4yDXF5SR"	66724	Neutral	29	1783	2022-01-23T13:49:39.577714Z	2022-01-23T13:49:39.577733Z	4.312
