TEXT,RESULT
Diskaun tol yang diberikan tahun ini istimewa kerana lebih awal berbanding tahun sebelumnya sebagai tanda keprihatinan kami kepada pengguna Lebuhraya SMART,Positive
"Dianggarkan lebih 96,000 kenderaan bakal menikmati diskaun ini",Positive
"Apabila kita membuat fitnah menerusi laman sosial, ia akan memberi impak negatif kepada penama malah keturunan penama",Negative
Sebab itu kita perlu berhati-hati kerana fitnah ini kesannya sangat buruk dan hukumnya haram dan berdosa kepada penyebar atau menerima bulat-bulat tanpa usul periksa,Positive
"Dalam hal ini, SPR telah mendapat jaminan daripada pihak Pos Malaysia berkaitan aspek keselamatan dan kerahsiaan dengan semua pengendalian penghantaran diklasifikasikan sebagaimana prosedur pos berdaftar menggunakan rangkaian Pos Laju",Positive
"Untuk pengembalian semula kertas undi pos yang telah ditanda, pengundi boleh mengembalikannya semula dengan menggunakan perkhidmatan mana-mana syarikat penghantaran, dan kos pengembalian semula itu adalah ditanggung sendiri oleh pengùndi pos terbabit",Positive
Pengundi juga hendaklah mengembalikan kertas undi pos tersebut kepada pegawai pengurus pilihan raya untuk pengiraan sebelum pukul 5 petang pada hari mengundi,Neutral
Ini kerana Suruhanjaya Persaingan mempunyai kuasa untuk menyiasat kes-kes penipuan bidaan kerana sesetengah kes rasuah dan salah laku semasa menunjukkan tanda-tanda penipuan,Positive
"Sebagai contoh pada PRU13 lalu, tersebar satu berita kononnya 30,000 pekerja Bangladesh mendapat IC dan mengundi",Neutral
Takkanlah kerajaan nak benarkan mereka mengundi,Positive
"Ketika sesi pengundian sedang berlangsung, ada ejen tempat mengundi yang menjaga kaunter pengundian",Positive
"Sekiranya ejen tempat mengundi mendapati rupa seseorang pengundi itu mencurigakan, mereka boleh membuat bantahan serta-merta",Positive
"Sebelum ini, Datuk Seri Azalina (Menteri di Jabatan Perdana Menteri) telah mengumumkan bahawa kerajaan akan mengubal sebuah akta bagi membendung berita palsu",Positive
"Walaupun akta ini digubal, ia tidak bermakna kerajaan mengawal freedom of speech rakyat",Positive
"Anda masih boleh lagi kongsi maklumat serta berita dalam mana-mana media sosial, asalkan maklumat dan berita yang disebarkan itu adalah benar,",Positive
Negara-negara Asean nampaknya gagal merubah situasi yang melanda masyarakat Islam di Rakhine walaupun bukti genosid dengan pengakuan tentera Myanmar yang menemukan kubur mangsa etnik Rohingya namun tiada tindakan dilakukan kepada pihak terlibat,Negative
Maka oleh sebab itu Mapim melihat perlunya satu gerakan bersepadu melibatkan NGO di seluruh peringkat rantau Asean digembleng dalam mencari penyelesaian terhadap perkara ini,Positive
"Malah, tekanan ke atas tentera dan Kaunselor Myanmar, Aung San Suu Kyi juga perlu diteruskan dan di perhebatkan bagi membela nasib masyarakat Islam yang ditindas di sana",Negative
Kerajaan Myanmar cuba mengalih fokus dunia kepada persetujuan penghantaran balik pelarian dari Bangladesh ke negara itu namun isu utama yang tidak mahu diberi perhatian ialah mengenai jenayah genosid serta pemusnahan perkampungan Rohingya secara berterusan berlaku sehingga kini,Negative
Jika ini tidak dilayan oleh Myanmar  maka tindakan drastik yang terakhir ialah dengan memboikot dan memecat negara itu daripada Asean,Positive
"Daripada kajian kami lakukan, kebanyakan mereka tidak faham dan tidak pasti untuk membuat permohonan Rumawip",Negative
MIC Wilayah Persekutuan sendiri sebelum ini telah menyenaraikan 20 orang pemohon kepada Kementerian Wilayah Persekutuan dalam isu Rumawip namun masih belum mendapat sebarang maklum balas,Negative
"Jadi, kami harap Kementerian Wilayah Persekutuan membuat promosi lebih banyak",Positive
"Kebanyakan mereka yang tinggal di Wilayah Persekutuan ini sebenarnya mampu dan sanggup membeli rumah berkenaan, cuma mereka tidak pasti mengenai program berkenaan",Negative
Kesemua unit ini akan dibina dalam  Kem Perdana Sungai Besi sebagai tanda terima kasih kepada anggota atas khidmat cemerlang selama 60 tahun merdeka,Positive
Ini dilakukan kerana kita sebenarnya kasih dan tetap mahu membela nasib semua warga peneroka agar mereka terus mendapat manfaat-manfaat yang kita umumkan,Positive
Adakah Najib dan SPR bersedia mengamalkan kedudukan terbuka Mahathir pada tahun 1990 bahawa mana-mana kumpulan antarabangsa adalah dialu-alukan dan bebas menghantar misi pemerhati untuk PRU14,Neutral
"Kerana ia akan menjadi pilihan raya umum paling penting dalam sejarah Malaysia, di mana ia akan menentukan sama ada terdapat perubahan Kerajaan Persekutuan di Putrajaya buat kali pertama dalam 61 tahun",Neutral
"SPR harus melakukan pencarian jiwa yang mendalam mengapa ia telah jatuh secara mendadak dari sebuah suruhanjaya yang boleh dipercayai di dunia ke kedudukan yang rendah hari ini,",Negative
"Felda (Lembaga Kemajuan Tanah Persekutuan), dalam memenuhi peranannya untuk memastikan keterangkuman dan ekuiti dalam pembangunan ekonomi Malaysia, telah menjadi ikon antarabangsa dalam membasmi kemiskinan dan membina negara",Positive
"Susulan Felda 2.0 bertujuan memberi wajah baharu kepada penempatan sedia ada, CIMB gembira untuk meningkatkan dan memberi sumbangan kepada inisiatif ini melalui pembangunan keusahawanan kami dan sokongan penanaman semula kepada Felda Lurah Bilut",Positive
