text	id	sentiment	annotator	annotation_id	created_at	updated_at	lead_time
finally potong jugak gelangnya https://t.co/C9okV5FA63	66726	Positive	29	1785	2022-01-23T13:49:45.445461Z	2022-01-24T13:32:50.210673Z	39.081
Agak agak sambung lagi ke pkp ni ?	66669	Positive	29	1728	2022-01-23T13:46:41.945221Z	2022-01-23T13:46:44.621894Z	512.875
@nikamily @Urra901109 Ko pancitkan keter dia. Apsal ko xtegur? Senior mana tagcall da lol. Ke pukik?	66575	Negative	29	1634	2022-01-23T13:39:16.489787Z	2022-01-23T13:39:25.992976Z	74.267
Pande tetak indah ku maca tak duak menyuweet bepantun dalam comment. Tak duak sikda ws kah? Mun sikda ws pake ws aku lok. Kedong ku sik make	66555	Negative	29	1613	2022-01-23T13:35:09.304777Z	2022-01-23T13:35:12.444797Z	845.374
@malu2funky sik tak obrak abrik kedamaiane @EnjoyTheFilm	66356	Neutral	17	1379	2022-01-22T13:40:02.195143Z	2022-01-22T13:40:11.943637Z	3214.338
NEW VD 2021 ABANG KULI BATU BATA JOIN FULL VD, 50K 18 GRUB: KOLEKSI RIAN GVID LOKAL VIP PRANK STR8 PUNYAHOBBY DAD&amp;BEAR ASIAN VIP BEEFCAKE HUNTER VIDEO VIP DAN PREMIUM LAINNYA ORDER KLIK https://t.co/HstFd0wiYs CEK KATALOG @masterlokal https://t.co/pnxYfUKG8T	66330	Neutral	17	1353	2022-01-22T13:38:19.379198Z	2022-01-22T13:38:23.975470Z	3106.359
Mantabb (@ Nasi Lemak Ujong Pasir in Malacca, Melaka) https://t.co/pxkzMrwGXp https://t.co/wWpZrqXDwr	66293	Positive	17	1316	2022-01-22T13:35:53.507326Z	2022-01-22T13:35:57.146068Z	2959.553
@Sataanize biasa nic di subang	80184	Neutral	17	1432	2022-01-23T09:05:31.021378Z	2022-01-23T09:05:31.021395Z	6.983
KJRI Jeddah Ungkap Alasan Arab Saudi Belum Umumkan Keputusan Soal Haji https://t.co/OOzj8BBFAd Dana Haji Aman #StopHoaxDanaHaji	80183	Positive	17	1433	2022-01-23T09:05:40.173874Z	2022-01-23T09:05:40.173888Z	4.851
Petrol 100 Diesel 90 Food Oil 200 LPG 900 Amugu Dumugu Amal Dumal #ModiVsYogi https://t.co/jHaB5pvO9a	80182	Neutral	17	1434	2022-01-23T09:06:07.783274Z	2022-01-23T09:06:07.783286Z	6.019
Ya Allah seriouslah sampai mcm ni. johor are u ok? My pray always with you. Semoga kita semua dijauhi drpd Covid https://t.co/L8d9XB1BqX	80181	Neutral	17	1435	2022-01-23T09:06:14.298243Z	2022-01-23T09:06:14.298257Z	4.791
@Izzzzzzz___ Patutlah jodoh lambat. Ah lantak lah.	80180	Negative	17	1436	2022-01-23T09:06:18.293201Z	2022-01-23T09:06:18.293214Z	2.675
bukan cultural appropriation. dah Tuhan kasi aku konek negro	80179	Negative	17	1437	2022-01-23T09:06:23.651346Z	2022-01-23T09:06:23.651359Z	4.112
@msianinsight Punya byk isu korang boleh gado isu Logo? Yg sorang bersemangat kemain...mcm abis isu dah logo gak y https://t.co/ils7NdIQpj	80178	Positive	17	1438	2022-01-23T09:06:47.768294Z	2022-01-23T09:06:47.768305Z	14.222
Suruh tangkap gambaq bagi dia tengok dulu tu tak boleh blah laaa adeiiii	80177	Negative	17	1439	2022-01-23T09:06:54.440709Z	2022-01-23T09:06:54.440720Z	5.391
Just posted a photo @ Bandar Tanah Merah, Kelantan https://t.co/ex1wVT89al	80176	Neutral	17	1440	2022-01-23T09:06:59.954271Z	2022-01-23T09:06:59.954283Z	4.196
@STRAWB3RRYMOO nanti kalau dh boleh rentas negeri, support sektor pelancongan negara sendiri. this statement, kalau nk feel the real one, pergi lah Penang Museum War. the vibe is just so different especislly the bilik2 beret	80175	Positive	17	1441	2022-01-23T09:07:34.102323Z	2022-01-23T09:07:34.102335Z	11.373
Nikmat tidurrrrrrr sampai 9.30 ni. Semalam berjaga sgt	80174	Positive	17	1442	2022-01-23T09:07:39.407342Z	2022-01-23T09:07:39.407355Z	4.081
Career aku sgt sesuai dgn aku ahahahhahahahahah bak kata mimi aku suka bercakap	80141	Positive	17	1443	2022-01-23T10:33:38.003404Z	2022-01-23T10:33:38.003417Z	14.58
@sutramaya Dahlah interface hauk. Content limited. MANA CRUELLA AKU???? bengang je	80140	Negative	17	1444	2022-01-23T10:33:52.482272Z	2022-01-23T10:33:52.482283Z	10.074
Nak tune guitar,bukak apps speedtest kepala otak dia lah	80138	Neutral	17	1445	2022-01-23T10:34:26.182780Z	2022-01-23T10:34:26.182795Z	9.413
Susah jugak eh, nak minta org volunteer tapi satgi tetiba suruh orang balik kolej pula	80137	Negative	17	1446	2022-01-23T10:34:38.055196Z	2022-01-23T10:34:38.055211Z	10.543
@H4T14K4LN4L42 @FerdinandHaean3 Itulah	80135	Neutral	17	1447	2022-01-23T10:34:57.923831Z	2022-01-23T10:34:57.923844Z	10.128
Alhamdulillah rezeki Ya Allah. Amin https://t.co/XAzzX31MoE	80132	Positive	17	1448	2022-01-23T10:35:22.702915Z	2022-01-23T10:35:22.702929Z	3.831
Rehat tidak bangun2 is better i think.	79589	Negative	17	1449	2022-01-23T10:49:26.482658Z	2022-01-23T10:49:26.482670Z	32.399
hahahahahahahah Tersembur aku!	76565	Positive	28	1507	2022-01-23T13:00:10.449139Z	2022-01-23T13:00:10.449147Z	1.709
Macam ini lah lumrah hidup nak survive kena kerja. Fuhh weekend berapa hari je siak cutinya.	75071	Negative	28	1502	2022-01-23T12:49:23.941011Z	2022-01-23T12:49:23.941027Z	3.11
Penat la kepala otak ni	75070	Negative	28	1503	2022-01-23T12:49:27.043285Z	2022-01-23T12:49:27.043297Z	1.218
@nazif3767 Fak tiru	74995	Negative	28	1508	2022-01-23T13:02:05.425770Z	2022-01-23T13:02:05.425789Z	14.387
@oohhoneyyyyy Mungkin darah malaysia berjangkit masa pergi Langkawi hahaha	67023	Neutral	27	2173	2022-01-28T04:07:59.720070Z	2022-01-28T04:07:59.720085Z	7.411
@ketengahketepi Thankyou bina RM35 dpt 3 items? boleh refer pic for details, discount up to RM10 Sape yg teringi https://t.co/yu5G4YAeZU	67022	Neutral	27	2172	2022-01-28T04:07:51.940771Z	2022-01-28T04:07:51.940785Z	1.957
Kami para walaun tak kesah pun dah tentu MB kami betul..... Kome jgn fitnah ya	67021	Negative	27	2171	2022-01-28T04:07:49.616549Z	2022-01-28T04:07:49.616566Z	1.642
Jangan lupa buka dulu kotaknya, pasti dapet voucher diskon	67020	Neutral	27	2170	2022-01-28T04:07:47.554819Z	2022-01-28T04:07:47.554836Z	4.829
Target hari ni nok perabih lucifer season 5	67019	Neutral	27	2169	2022-01-28T04:07:42.345566Z	2022-01-28T04:07:42.345585Z	3.02
Ternyata kalo bagan dirubah dan dibikin Jerman yg juara 2, Portugal juara 3, Belanda malah cuma ketemu Ceko di 16 b https://t.co/C9FP0ju0Cw	67018	Neutral	27	2168	2022-01-28T04:07:38.923766Z	2022-01-28T04:07:38.923790Z	5.052
@drzul_albakri @JKJAVMY Tiada alasan lagi untuk kita gaknak vaksin. Jom pakat ambik vaksin. https://t.co/ARMspNvO2e	67017	Negative	27	2167	2022-01-28T04:07:33.465647Z	2022-01-28T04:07:33.465663Z	10.223
31/5/2021 - (R01) Kerja-kerja penyenggaraan jalan di laluan FT01, Jalan Kuala Lumpur - Tanjung Malim, daerah Hulu Selangor #TeamRoadcare https://t.co/66a2nU3TkH	67016	Neutral	27	2166	2022-01-28T04:07:22.847336Z	2022-01-28T04:07:22.847350Z	1.671
Selain menyeru kpd ketauhidan &amp; keimanan, Rasulullah SAW juga diutuskan untuk misi pembinaan &amp; pembentukan AKHLAK M https://t.co/E1D72kE54a	67015	Positive	27	2165	2022-01-28T04:07:20.791143Z	2022-01-28T04:07:20.791157Z	2.988
Tapi demi keamanan dan keselamatan semua, kita masih harus bersabar. Apalagi muncul varian baru virus corona, dan orang yang sudah divaksin tidak dijamin tidak tertular, papar Puan Maharani. #PuanPeduliHaji https://t.co/Cd4okE9qF5	67014	Positive	27	2164	2022-01-28T04:07:17.423067Z	2022-01-28T04:07:17.423081Z	2.925
Bawa diri jap (@ Terminal Bersepadu Selatan (TBS) / Integrated Transport Terminal (ITT) in Kuala Lumpur, WP Kuala https://t.co/zfa5JlsZaE	67013	Neutral	27	2163	2022-01-28T04:07:14.122337Z	2022-01-28T04:07:14.122348Z	1.706
Aiyaaa napa lapar skrg ni?	67012	Neutral	27	2162	2022-01-28T04:07:12.029648Z	2022-01-28T04:07:12.029662Z	2.997
Bagi anda yang berkunjung ke Lampung selatan, Singgahlah di Pemandian Air Panas Way Belerang Kalianda yang menjadi https://t.co/GWBUKitKo1	67011	Neutral	27	2161	2022-01-28T04:07:08.629856Z	2022-01-28T04:07:08.629880Z	1.712
Dah bg kelonggaran utk home quarantine, tp manusia mcm kau ni tak reti bersyukur. Bebal dan selfish! Bukan tak dibe https://t.co/Tw8UVkRGdt	67010	Negative	27	2160	2022-01-28T04:07:06.524830Z	2022-01-28T04:07:06.524843Z	1.976
Kreatif betul mereka yang share about their preferences and themselves kat twtjodoh ni. siap ada yang ala ala poste https://t.co/43GA48lAiP	67009	Positive	27	2159	2022-01-28T04:07:04.138291Z	2022-01-28T04:07:04.138307Z	3.317
Okay okay, since ramai nak link shopee, here you go Bear in mind, shop ni deliver selangor &amp; KL ONLY. Rasa pun fresh. Dia siap deliver guna lori sejuk! Packing kemas. Ada banyak lagi seafood &amp; frozen food lain. Link : https://t.co/niGjXLG0a5	67008	Neutral	27	2158	2022-01-28T04:07:00.449870Z	2022-01-28T04:07:00.449883Z	1.875
Kebetulan hari ini ada pekerjaan tapi sebentar lagi selesai. Kamu ini memang suka mendongeng atau baga https://t.co/glmku10x3i	67007	Negative	27	2157	2022-01-28T04:06:58.196525Z	2022-01-28T04:06:58.196539Z	2.334
@istrihabibiee Selemparan batu dari Summarecon Karawang	67006	Neutral	27	2156	2022-01-28T04:06:55.493913Z	2022-01-28T04:06:55.493928Z	4.287
